userid, group99999, temp, 24.25, sample_timestamp, 16:32:00, received timestamp, 13/13:32:09, Message length, 170
userid, group99999, temp, 24.25, sample_timestamp, 16:32:02, received timestamp, 13/13:32:09, Message length, 170
userid, group99999, temp, 24.25, sample_timestamp, 16:32:05, received timestamp, 13/13:32:09, Message length, 170
userid, group99999, temp, 24.25, sample_timestamp, 16:32:08, received timestamp, 13/13:32:09, Message length, 170
userid, group99999, temp, 24.25, sample_timestamp, 16:32:11, received timestamp, 13/13:32:23, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:13, received timestamp, 13/13:32:23, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:16, received timestamp, 13/13:32:23, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:19, received timestamp, 13/13:32:23, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:22, received timestamp, 13/13:32:23, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:25, received timestamp, 13/13:32:36, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:28, received timestamp, 13/13:32:36, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:31, received timestamp, 13/13:32:36, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:33, received timestamp, 13/13:32:36, Message length, 169
userid, group99999, temp, 24.25, sample_timestamp, 16:32:35, received timestamp, 13/13:32:36, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:39:44, received timestamp, 13/13:39:54, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:39:46, received timestamp, 13/13:39:54, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:39:49, received timestamp, 13/13:39:54, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:39:51, received timestamp, 13/13:39:54, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:39:53, received timestamp, 13/13:39:54, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:39:56, received timestamp, 13/13:40:07, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:39:58, received timestamp, 13/13:40:07, Message length, 169
